created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Thu May 25 17:41:00 +0000 2023;1661789477717803000;1661789477717803008;"🌹💚❤️‍🔥\n\nSHALALA THORN D3\n#TAEYONG_ThornPhoto2\n\nLTY1 DEBUT IN JUNE \n#톨로이즈커밍\n#TAEYONG1stSOLO\n\n#TAEYONG #태용 #SHALALA \n#NCT #NCT127 #TAEYONG_SHALALA\n#NCT_TAEYONG_SHALALA https://t.co/forVESnb5b";0;1;0;0;;in;1375861979445821444;1657790408532062200;1657790408532062216;"https://pbs.twimg.com/media/Fw_cnkmaQAAbpR6.jpg";"photo";RosetyK
Thu May 25 17:35:32 +0000 2023;1661788100790718500;1661788100790718464;"@aamericcano aku ada Johnny jumatan 80k, siapa tau minat🙏🏻";0;0;0;0;;in;1384361806844469254;1645647557677453300;1645647557677453312;"";"";lovingmork__
Thu May 25 17:37:33 +0000 2023;1661788610461581300;1661788610461581313;"@nct_menfess Bukannya ibunya bilang kotak/koper yang dibawa kosong? Makanya si ibu bilang bisa bawa sendiri gitu ya gak si? https://t.co/0EWhy0IaPT";0;0;0;0;;in;1192340599753474049;1661712516102381600;1661712516102381568;"https://pbs.twimg.com/ext_tw_video_thumb/1661788435190018048/pu/img/QNyGpQMXpmeMH80w.jpg";"photo";petridische
Thu May 25 13:46:07 +0000 2023;1661730365168562200;1661730365168562180;"oh haechan was just so happy to be there 😭 https://t.co/Qirb3WBIBO";196;2;1394;3368;;en;984773738926256138;1661730365168562200;1661730365168562180;"https://pbs.twimg.com/ext_tw_video_thumb/1661730236818677761/pu/img/DOXRnHutoMHwqyVm.jpg";"photo";dailyhaechan
Thu May 25 17:37:09 +0000 2023;1661788508120559600;1661788508120559617;"@dearlylhc aku ada nih 80k, siapa tau minat🙏🏻";0;0;0;0;;in;1384361806844469254;1628206025974382600;1628206025974382592;"";"";lovingmork__
Thu May 25 17:39:05 +0000 2023;1661788993187627000;1661788993187627008;"@nct_menfess kangennn bangetttttt riiilll";0;0;0;0;;in;1540643365602992128;1661720987342344200;1661720987342344192;"";"";arathoughtss
Thu May 25 17:40:03 +0000 2023;1661789239619776500;1661789239619776513;"LiSA join nct tokyo kah\n\nanjay jadi ratunya para bujang";0;0;0;0;;in;1287245025575727104;1661789239619776500;1661789239619776513;"";"";drakemmasteddy
Thu May 25 17:36:10 +0000 2023;1661788258748227600;1661788258748227584;"@Rvnsnjy @seunghwanfess that’s (((kapan dia masuk nct?))) 😭😭😭";0;0;0;0;;in;1591423497708134400;1661331552842948600;1661331552842948608;"";"";jiwoongundip
Thu May 25 17:40:13 +0000 2023;1661789279004295200;1661789279004295168;"terus aku berusaha buat bisa mengenal member lainnya, dgn cara nonton fancam + liat google wkwk soalnya aku g punya temen carat. finally bisa nonton gose karna udh hapal membernya dan berujung beli album fml wkwk plot twist bgt kek dejavu waktu aku first time kenal nct jg gitu hh";0;1;0;0;;in;1274584241334976513;1661788139567071200;1661788139567071233;"";"";oshadavj
Thu May 25 14:35:33 +0000 2023;1661742808104075300;1661742808104075267;"@tanyarlfes Salim sm pa jokowi / ketemu lisa nct";40;2;0;0;;in;1214153074828173317;1661741422012407800;1661741422012407819;"";"";Sylphinne
Thu May 25 17:30:25 +0000 2023;1661786812673839000;1661786812673839109;"@nct_menfess Ih lucu banget ndeer";0;0;0;0;;in;1468807293282095109;1661728199129337900;1661728199129337856;"";"";onyourlav
